title,description,publishedAt,source,url,publishedAt_utc,publishedAt_ny,hour_bin
Man arrested for driving into protesters at Tesla dealership,"Andrew Dutil was arrested Saturday, after driving his car onto the sidewalk of a Tesla dealership, nearly striking several protesters.",2025-03-24T15:51:56Z,WPTV.com,https://www.wptv.com/news/palm-beach-county/region-c-palm-beach-county/man-arrested-for-driving-into-crowd-of-protesters-at-tesla-dealership-near-west-palm-beach,2025-03-24 15:51:56+00:00,2025-03-24 11:51:56-04:00,2025-03-24 11:00:00-04:00
Elon Musk’s estranged daughter responds to his tweet calling her ‘dead’,Vivian Wilson responded to her father with a famous line from ‘RuPaul’s Drag Race’,2025-03-24T15:51:07Z,The-independent.com,https://www.the-independent.com/life-style/elon-musk-daughter-vivian-wilson-tweet-b2720631.html,2025-03-24 15:51:07+00:00,2025-03-24 11:51:07-04:00,2025-03-24 11:00:00-04:00
Trump Threatens 20 Year Sentences for Tesla Saboteurs,Trump's statements ambiguously suggest that those peacefully protesting against Tesla and Elon Musk could be targeted.,2025-03-24T15:40:43Z,Truthout,https://truthout.org/articles/trump-threatens-20-year-sentences-for-tesla-saboteurs/,2025-03-24 15:40:43+00:00,2025-03-24 11:40:43-04:00,2025-03-24 11:00:00-04:00
"Good Morning, News: A New Waterfront Park, More Terrible News for Musk & Tesla, and This ""Bad"" Painting of Trump is Actually Very Accurate","by Wm. Steven Humphrey
 
 
 
 If you’re reading this, you probably know the value of the Mercury’s news reporting, arts and culture coverage, event calendar, and the bevy of events we host throughout the year. The work we do helps our city shine, but we can’t…",2025-03-24T15:28:00Z,The Portland Mercury,https://www.portlandmercury.com/good-morning-news/2025/03/24/47701678/good-morning-news-a-new-waterfront-park-more-terrible-news-for-musk-and-tesla-and-this-bad-painting-of-trump-is-actually-very-accurate,2025-03-24 15:28:00+00:00,2025-03-24 11:28:00-04:00,2025-03-24 11:00:00-04:00
What the Fork Is He Doing? Musk Raises Eyebrows With Bizarre Silverware Balancing Act During Dinner With Trump,"Guests at a high-priced fundraiser for President Donald Trump were treated to dinner and a show from Tesla billionaire Elon Musk, who was caught on camera at an odd moment.
The post What the Fork Is He Doing? Musk Raises Eyebrows With Bizarre Silverware Balan…",2025-03-24T15:23:36Z,Mediaite,https://www.mediaite.com/news/what-the-fork-is-he-doing-musk-raises-eyebrows-with-bizarre-silverware-balancing-act-during-dinner-with-trump/,2025-03-24 15:23:36+00:00,2025-03-24 11:23:36-04:00,2025-03-24 11:00:00-04:00
"Tesla Stock Pops Monday, Extending Friday's Gains","Key Takeaways
- Tesla shares jumped Monday, extending Friday's gains following an all-hands meeting where CEO Elon Musk told Tesla employees to ""hang on"" to their stock.
- Musk had argued Wall Street doesn't fully understand Tesla's value and potential, based…",2025-03-24T15:19:22Z,Biztoc.com,https://biztoc.com/x/2549433ec67f5149,2025-03-24 15:19:22+00:00,2025-03-24 11:19:22-04:00,2025-03-24 11:00:00-04:00
FBI tells Tesla owners to be vigilant as authorities pinpoint their focus to stop violence: former agent,"The FBI says Tesla owners should be on the lookout for suspicious activity ahead of the left-wing Action Network's ""Global Day of Protest.""",2025-03-24T15:18:59Z,Fox News,https://www.foxnews.com/us/fbi-tells-tesla-owners-vigilant-authorities-pinpoint-focus-stop-violence-former-agent,2025-03-24 15:18:59+00:00,2025-03-24 11:18:59-04:00,2025-03-24 11:00:00-04:00
Someone Else Tested Whether a Tesla Will Really Crash Into a Wall Painted Like a Road,"Earlier this month, YouTuber and former NASA engineer Mark Rober released a video titled ""Can You Fool a Self Driving Car?"" which showed a Tesla on Autopilot getting fooled by a Wile E. Coyote-style wall painted to look like the road ahead of it. High frame-r…",2025-03-24T15:17:18Z,Futurism,https://futurism.com/someone-else-tested-tesla-crash-wall-painted-road,2025-03-24 15:17:18+00:00,2025-03-24 11:17:18-04:00,2025-03-24 11:00:00-04:00
Are you a Tesla driver? Have you had any negative reactions in recent months?,The Journal is looking to report on how people in Ireland feel about driving a Tesla these days.,2025-03-24T15:15:23Z,TheJournal.ie,https://www.thejournal.ie/are-you-a-tesla-driver-the-journal-wants-to-hear-from-you-6657597-Mar2025/,2025-03-24 15:15:23+00:00,2025-03-24 11:15:23-04:00,2025-03-24 11:00:00-04:00
Republicans Are Secretly Panicking Over Trump’s Elon Musk Obsession,"The MAGA movement is not falling in line behind Elon Musk.
Republican strategists and voters with an affinity for Donald Trump are not keen to see the world’s richest man make cuts to agencies and programs that they rely on, sparking concerns that Musk’s ent…",2025-03-24T15:14:51Z,The New Republic,https://newrepublic.com/post/193087/donald-trump-elon-musk-republicans-panicking,2025-03-24 15:14:51+00:00,2025-03-24 11:14:51-04:00,2025-03-24 11:00:00-04:00
Italy freezes Starlink talks as Elon Musk’s controversies snowball,"Last week, Elon Musk’s Starlink internet service was installed at the White House. A week before that, Donald Trump promoted Tesla on the White House front lawn, after rallying people to buy the company’s cars and stock.  The Trump administration’s endorsemen…",2025-03-24T15:13:47Z,The Next Web,https://thenextweb.com/news/italy-freezes-starlink-talks-as-elon-musks-controversies-snowball,2025-03-24 15:13:47+00:00,2025-03-24 11:13:47-04:00,2025-03-24 11:00:00-04:00
Tesla stock has surged since Musk's surprise all-hands meeting as retail investors swarm,Tesla stock has jumped sharply after Elon Musk urged employees to hold on to their shares in a surprise town hall last Thursday.,2025-03-24T15:10:58Z,Business Insider,https://www.businessinsider.com/tesla-stock-price-today-musk-meeting-retail-investors-doge-2025-3,2025-03-24 15:10:58+00:00,2025-03-24 11:10:58-04:00,2025-03-24 11:00:00-04:00
"""No more loans to babies or the dead"": Elon Musk's DOGE backs SBA's crackdown on fraudulent loans","Elon Musk has thrown his weight behind the U.S. Small Business Administration's (SBA) new fraud-prevention policy, which now requires loan applicants to provide their date of birth. The Department of Government Efficiency (DOGE), Musk’s initiative to curb was…",2025-03-24T16:59:56Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/no-more-loans-to-babies-or-the-dead-elon-musks-doge-backs-sbas-crackdown-on-fraudulent-loans/articleshow/119435488.cms,2025-03-24 16:59:56+00:00,2025-03-24 12:59:56-04:00,2025-03-24 12:00:00-04:00
Bomb Squad Finds 'Incendiary Devices' at Texas Tesla Dealership,The FBI recently issued a warning as protests against Tesla continue to be used to show opposition against the Trump admin.,2025-03-24T16:52:15Z,Newsweek,https://www.newsweek.com/bomb-squad-finds-incendiary-devices-texas-tesla-dealership-2049720,2025-03-24 16:52:15+00:00,2025-03-24 12:52:15-04:00,2025-03-24 12:00:00-04:00
"Tesla rebounds 10% for biggest gain since its post-Election Day pop, following 9-straight weeks of losses",Tesla shares on pace for their best day in 2025.,2025-03-24T16:50:27Z,CNBC,https://www.cnbc.com/2025/03/24/tesla-rebounds-10percent-for-biggest-pop-of-the-year-following-9-straight-weeks-of-losses.html,2025-03-24 16:50:27+00:00,2025-03-24 12:50:27-04:00,2025-03-24 12:00:00-04:00
A. You are very unlikely to run into a coyote trying to trick you into driving into a wall. B. Lidar will make your car ugly C. Camera only auto pilot has a cost saving benefit D. Most experts say mixed sensors is best [Followup],A. You are very unlikely to run into a coyote trying to trick you into driving into a wall. B. Lidar will make your car ugly C. Camera only auto pilot has a cost saving benefit D. Most experts say mixed sensors is best,2025-03-24T16:50:08Z,Fark.com,https://www.fark.com/comments/13608474/A-You-are-very-unlikely-to-run-into-a-coyote-trying-to-trick-you-into-driving-into-a-wall-B-Lidar-will-make-your-car-ugly-C-Camera-only-auto-pilot-has-a-cost-saving-benefit-D-Most-experts-say-mixed-sensors-is-best,2025-03-24 16:50:08+00:00,2025-03-24 12:50:08-04:00,2025-03-24 12:00:00-04:00
