title,description,publishedAt,source,url,publishedAt_utc,publishedAt_ny,hour_bin
Ahead of Market: 10 things that will decide stock market action on Friday,"he Indian market ended higher on Thursday, bouncing back from a negative start as gains in heavyweight financial stocks provided support, though further upside was capped by a decline in auto stocks, led by Tata Motors, following the announcement of U.S. tari…",2025-03-27T15:54:40Z,The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-friday/articleshow/119605754.cms,2025-03-27 15:54:40+00:00,2025-03-27 11:54:40-04:00,2025-03-27 11:00:00-04:00
"Trump's tariffs on auto imports shake global industry as price hikes, job losses loom","The U.S. announced a 25% tariff on auto imports, causing global suppliers to warn about price hikes and job losses. Europe's auto industry urged a transatlantic deal to avoid these tariffs. Analysts deemed the move 'draconian,' predicting increased costs and …",2025-03-27T15:08:00Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/trumps-tariffs-on-auto-imports-shake-global-industry-as-price-hikes-job-losses-loom/articleshow/119604171.cms,2025-03-27 15:08:00+00:00,2025-03-27 11:08:00-04:00,2025-03-27 11:00:00-04:00
Auto component makers fear revenue hit from US tariffs,"US auto parts tariff to impact Indian manufacturers heavily, with significant revenue exposure, potential market shifts, and ripple effects.",2025-03-27T16:45:00Z,BusinessLine,https://www.thehindubusinessline.com/economy/auto-parts-makers-fear-us-tariffs-hitting-their-revenues/article69382453.ece,2025-03-27 16:45:00+00:00,2025-03-27 12:45:00-04:00,2025-03-27 12:00:00-04:00
"""We'll Be Ruined In 3-6 Months If..."": P Chidambaram's Warning On US Tariffs","Congress leader P Chidambaram asked the government to spell out India&#039;s response to US President Donald Trump&#039;s threat of tariff war, alleging that no discussion in parliament or consultation with Opposition parties has been held over the matter.",2025-03-27T17:35:29Z,NDTV News,https://www.ndtv.com/world-news/we-will-be-ruined-in-3-to-6-months-if-what-p-chidambaram-warned-about-donald-trump-us-tariffs-threat-8026813,2025-03-27 17:35:29+00:00,2025-03-27 13:35:29-04:00,2025-03-27 13:00:00-04:00
"UK not entering trade war with US, says Starmer","The UK is in ""intense negotiations"" with the US over tariff plans, the prime minister says.",2025-03-27T17:30:38Z,BBC News,https://www.bbc.com/news/articles/cd651lqdgj6o,2025-03-27 17:30:38+00:00,2025-03-27 13:30:38-04:00,2025-03-27 13:00:00-04:00
Battery power: India’s EV segment surges to nearly 2 million registrations in FY25,"FY25 saw a surge in electric vehicle registrations, with growth in two-wheelers, three-wheelers, and passenger vehicles despite challenges.",2025-03-31T14:47:29Z,BusinessLine,https://www.thehindubusinessline.com/companies/battery-power-indias-ev-segment-surges-to-nearly-2-million-registrations-in-fy25/article69397148.ece,2025-03-31 14:47:29+00:00,2025-03-31 10:47:29-04:00,2025-03-31 10:00:00-04:00
How To Be A Long-Term AI Success Story,"Also in the Forbes CEO newsletter: Economy braces for ‘Liberation Day,’ inflation rises and stocks and consumer outlook drop, why the 2025 M&A boom is a bust.",2025-03-31T16:00:35Z,Forbes,https://www.forbes.com/sites/meganpoinski/2025/03/31/how-to-be-a-long-term-ai-success-story/,2025-03-31 16:00:35+00:00,2025-03-31 12:00:35-04:00,2025-03-31 12:00:00-04:00
"Automotive Fasteners Market is Forecasted to Reach US$ 28.7 Billion in 2030, Says Stratview Research","Detroit, March 31, 2025 (GLOBE NEWSWIRE) -- The global automotive fasteners market is projected to witness a growth rate of 2.2% annually from 2024 to 2030, with an anticipated size of US$ 28.7 billion by 2030, according to an analysis by Stratview Research.",2025-03-31T19:00:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/03/31/3052696/0/en/Automotive-Fasteners-Market-is-Forecasted-to-Reach-US-28-7-Billion-in-2030-Says-Stratview-Research.html,2025-03-31 19:00:00+00:00,2025-03-31 15:00:00-04:00,2025-03-31 15:00:00-04:00
"Truck sales register single-digit growth in March, raising hopes of market recovery","Improved fleet utilisation, rate cuts, lower crude oil prices and focus on large-scale infrastructure projects expected to sustain demand growth going forward",2025-04-01T14:57:30Z,BusinessLine,https://www.thehindubusinessline.com/companies/truck-sales-register-single-digit-growth-in-march-raising-hopes-of-market-recovery/article69400653.ece,2025-04-01 14:57:30+00:00,2025-04-01 10:57:30-04:00,2025-04-01 10:00:00-04:00
"Passenger vehicle wholesales show mixed trend in March; high base year effect, macroeconomic factors to limit growth to 1-2%","With sports utility vehicles dominating in both urban and rural markets, market for other forms of vehicles likely to take a hit",2025-04-01T15:54:22Z,BusinessLine,https://www.thehindubusinessline.com/economy/passenger-vehicle-wholesales-show-mixed-trend-in-march-high-base-year-effect-macroeconomic-factors-to-limit-growth-to-1-2/article69400973.ece,2025-04-01 15:54:22+00:00,2025-04-01 11:54:22-04:00,2025-04-01 11:00:00-04:00
