title,description,publishedAt,source,url,publishedAt_utc,publishedAt_ny,hour_bin
Best laptops: Our experts pick the top 12 models,"Finding the right laptop for your lifestyle means cutting through a lot of noise. Whether you’re looking for a high-performance gaming laptop a lightweight Chromebook for daily browsing, or a reliable Windows laptop for school, this guide is here to help.


…",2025-04-16T19:57:09Z,PCWorld,https://www.pcworld.com/article/436674/best-pc-laptops.html,2025-04-16 19:57:09+00:00,2025-04-16 15:57:09-04:00,2025-04-16 15:00:00-04:00
2023 Dodge Challenger SRT Demon 170 at No Reserve,"This 2023 Dodge Challenger SRT Demon 170 is #1,404 of approximately 3,300 examples built for the model year and is powered by a supercharged 6.2-liter Hemi High-Output V8 producing up to 1,025 horsepower and 945 lb-ft of torque, which is sent to the rear whee…",2025-04-16T19:56:58Z,Bringatrailer.com,https://bringatrailer.com/listing/2023-dodge-challenger-srt-demon-170-171/,2025-04-16 19:56:58+00:00,2025-04-16 15:56:58-04:00,2025-04-16 15:00:00-04:00
Apple to Enable a Lesser-Known iOS 16 Feature on iPhone Demo Units,"In its 2025 Environmental Progress Report released today, Apple revealed that it plans to expand its Clean Energy Charging feature to iPhone and iPad demo units on display at Apple Stores and other retail stores across the United States.





Introduced in th…",2025-04-16T19:56:13Z,MacRumors,https://www.macrumors.com/2025/04/16/demo-iphones-ipads-clean-energy-charging/,2025-04-16 19:56:13+00:00,2025-04-16 15:56:13-04:00,2025-04-16 15:00:00-04:00
"Twelve South’s 15W 3-in-1 HiRise 3 Deluxe MagSafe stand is one of the best, now back at $100 Amazon low (33% off)","Update: After going in and out of stock a couple times now, this particularly notable all-time low on one of the best 15W MagSafe stands is back again at Amazon. 



Amazon is now offering its best price to date on one of our favorite 3-in-1 15W MagSafe charg…",2025-04-16T19:54:12Z,9to5Toys,http://9to5toys.com/2025/04/16/twelve-souths-15w-3-in-1-hirise-3-deluxe/,2025-04-16 19:54:12+00:00,2025-04-16 15:54:12-04:00,2025-04-16 15:00:00-04:00
TRUMP EFFECT: NVIDIA Leads American-Made Chips Boom,"For the first time ever, chipmaking giant NVIDIA will manufacture its AI supercomputers entirely in the U.S., the company announced today — part of its pledge to produce $500 billion of AI infrastructure in the U.S. over the next four years.The company will b…",2025-04-16T19:53:16Z,Freerepublic.com,https://freerepublic.com/focus/f-news/4311427/posts,2025-04-16 19:53:16+00:00,2025-04-16 15:53:16-04:00,2025-04-16 15:00:00-04:00
Apple’s carbon footprint is shrinking,"Apple’s making steady progress toward its climate goals, the company’s latest environmental progress report shows. Its planet-heating pollution shrank by 800,000 metric tons last year compared to 2023, about a 5 percent drop. Looking back over the past decade…",2025-04-16T19:51:25Z,The Verge,https://www.theverge.com/news/650082/apple-environmental-progress-report-greenhouse-gas-emissions-climate-energy,2025-04-16 19:51:25+00:00,2025-04-16 15:51:25-04:00,2025-04-16 15:00:00-04:00
iOS 18.4.1 Update Released with CarPlay Fix & Security Patches,"Apple has released iOS 18.4.1 update for iPhone, along with iPadOS 18.4.1 for iPad. The software updates include a few bug fixes and important security patches, making them recommended to update. Additionally, iOS 18.4.1 includes a bug fix for a particular is…",2025-04-16T19:50:45Z,Osxdaily.com,https://osxdaily.com/2025/04/16/ios-18-4-1-update-released-with-carplay-fix-security-patches/,2025-04-16 19:50:45+00:00,2025-04-16 15:50:45-04:00,2025-04-16 15:00:00-04:00
Ridley Scott Signs With CAA Along With His Scott Free Film/TV Production Banner,"EXCLUSIVE: CAA has signed director Ridley Scott and Scott Free Productions, the film and television production vehicle formed by brothers Ridley and the late Tony Scott. A team of reps signed Scott, the four-time Academy Award-nominated director and producer …",2025-04-16T19:50:37Z,Deadline,http://deadline.com/2025/04/ridley-scott-signs-caa-scott-free-film-tv-production-banner-1236370271/,2025-04-16 19:50:37+00:00,2025-04-16 15:50:37-04:00,2025-04-16 15:00:00-04:00
Xbox's 'stream your owned games to console' feature now available to all via Game Pass Ultimate,"Following months of Xbox Insider testing, all Xbox Game Pass Ultimate subscribers can now stream a ""select"" number of their owned games to Xbox Series X/S or Xbox One consoles, without needing to install them first. It's one of several Xbox features launching…",2025-04-16T19:50:36Z,Eurogamer.net,https://www.eurogamer.net/xboxs-stream-your-owned-games-to-console-feature-now-available-via-game-pass-ultimate,2025-04-16 19:50:36+00:00,2025-04-16 15:50:36-04:00,2025-04-16 15:00:00-04:00
iOS 18.4.1 promises to fix frusturating CarPlay bugs,"Following the release of iOS 18.4 earlier this month, iPhone users reported several different connectivity problems with CarPlay. Now, Apple has released iOS 18.4.1, which includes a fix for at least one of the reported CarPlay problems…



 more…",2025-04-16T19:48:27Z,9to5Mac,https://9to5mac.com/2025/04/16/ios-18-4-1-promises-carplay-fix/,2025-04-16 19:48:27+00:00,2025-04-16 15:48:27-04:00,2025-04-16 15:00:00-04:00
