title,description,publishedAt,source,url,publishedAt_utc,publishedAt_ny,hour_bin
Apple faces a 'complete disaster' as an analyst calls it tech's biggest trade war loser,Wedbush analyst Dan Ives warned that Apple faces particular peril from Trump’s growing trade war,2025-04-07T14:50:00Z,Quartz India,https://qz.com/apple-stock-wedbush-dan-ives-trump-tariffs-trade-war-1851775042,2025-04-07 14:50:00+00:00,2025-04-07 10:50:00-04:00,2025-04-07 10:00:00-04:00
Ives: Investors With Long-Term Horizons Should Buy Nvidia (NVDA) Stock,"Speaking on the Schwab Network recently, well-known analyst Dan Ives advised investors with a time horizon of more than one year to buy Nvidia (NVDA) stock. ...",2025-04-07T14:33:40Z,Yahoo Entertainment,https://finance.yahoo.com/news/ives-investors-long-term-horizons-143340715.html,2025-04-07 14:33:40+00:00,2025-04-07 10:33:40-04:00,2025-04-07 10:00:00-04:00
Apple is racing to fly planes of iPhones into the US ahead of Trump’s tariffs,"With the full breadth of Trump’s tariffs slated to kick in on Wednesday, Apple is stockpiling iPhone inventory in the United States as quickly as possible. A new report from The Times of India today says that part of Apple’s strategy to limit the impact of th…",2025-04-07T15:58:50Z,9to5Mac,https://9to5mac.com/2025/04/07/iphone-inventory-united-states-planes/,2025-04-07 15:58:50+00:00,2025-04-07 11:58:50-04:00,2025-04-07 11:00:00-04:00
The Dow swings violently and the S&P 500 touches bear market territory as trade war fallout continues,"The S&P 500 touched bear market territory and the Dow Jones Industrial Average shed as much as 1,700 points early Monday — before gaining more than 700 points and then turning negative again. This chaotic start to the week follows days of market carnage as in…",2025-04-07T15:45:54Z,Quartz India,https://qz.com/trade-war-fallout-dow-swings-s-p-500-bear-market-1851775043,2025-04-07 15:45:54+00:00,2025-04-07 11:45:54-04:00,2025-04-07 11:00:00-04:00
"Apple stocks plummet, as Trump threatens 104% tariff on China","President Trump is literally doubling down on his ruinous tariff plans, saying that since China has retaliated to the original rate, he is now raising it a further 50%.Donald Trump's signed tariff plan - Photo credit CNBCTrump's original tariffs were unexpect…",2025-04-07T15:45:17Z,AppleInsider,https://appleinsider.com/articles/25/04/07/apple-stocks-plummet-as-trump-threatens-104-tariff-on-china,2025-04-07 15:45:17+00:00,2025-04-07 11:45:17-04:00,2025-04-07 11:00:00-04:00
"Analyzing Apple In Comparison To Competitors In Technology Hardware, Storage & Peripherals Industry","In today's rapidly changing and fiercely competitive business landscape, it is vital for investors and industry enthusiasts to carefully evaluate companies. In this article, we will perform a comprehensive industry comparison, evaluating Apple AAPL against it…",2025-04-07T15:13:40Z,Biztoc.com,https://biztoc.com/x/516a2ad8536ad7b7,2025-04-07 15:13:40+00:00,2025-04-07 11:13:40-04:00,2025-04-07 11:00:00-04:00
Jim Cramer says Apple down 30% from its record is not a buy yet — blame Peter Navarro,"The architect of President Donald Trump's sweeping global tariffs ""has it in"" for Apple, Jim says.",2025-04-07T17:42:52Z,CNBC,https://www.cnbc.com/2025/04/07/jim-cramer-apple-down-30percent-is-not-a-buy-yet-blame-peter-navarro.html,2025-04-07 17:42:52+00:00,2025-04-07 13:42:52-04:00,2025-04-07 13:00:00-04:00
Why Shares of Apple Are Getting Hammered Today,"In This Article:
Shares of consumer tech giant Apple (NASDAQ: AAPL) traded over 5.6% lower today as of 12:52 p.m. ET, extending its sell-off after President Donald Trump issued far-reaching tariffs late last week. Wedbush analyst Dan Ives lowered his price ta…",2025-04-07T17:38:31Z,Biztoc.com,https://biztoc.com/x/68993bfde46bc243,2025-04-07 17:38:31+00:00,2025-04-07 13:38:31-04:00,2025-04-07 13:00:00-04:00
"Apple Takes the Biggest Hit of the ""Magnificent Seven"" in Response to Trump Tariffs","In This Article:
The sudden and sharp stock market sell-off following the Trump administration's tariff announcements on April 2 is hitting the world's largest technology companies. Apple (NASDAQ: AAPL), Microsoft, Amazon, Alphabet (Google), Meta Platforms (F…",2025-04-07T17:05:05Z,Biztoc.com,https://biztoc.com/x/4f248176c9e00de9,2025-04-07 17:05:05+00:00,2025-04-07 13:05:05-04:00,2025-04-07 13:00:00-04:00
OpenAI Eyes a Mysterious Startup Backed By Sam Altman and Former Apple Designer Jony Ive,The ChatGPT-maker is reportedly considering a $500 million bid for an A.I. personal device startup.,2025-04-07T18:23:49Z,Observer,https://observer.com/2025/04/openai-sam-altman-jony-ive-hardware-startup/,2025-04-07 18:23:49+00:00,2025-04-07 14:23:49-04:00,2025-04-07 14:00:00-04:00
