headline,link,time,scrape_time
"Triveni Turbine Faces Decline Amidst Recent Gains, Signaling Potential Trend Reversal",https://news.google.com/read/CBMiwAFBVV95cUxNRHBJY3Yza190anEyY1RWQnBEdk1XUFQtWFRSSXB2Ml9hVnM3dEs0ZkZJNWgwRGNmWDVyLWhMNFJZOFpud04xNm1iN0FWU1lqMThYcGNKUlBJQXNaOEszMXlZek9SZ2NCU3Vac093TVdyMnZybHhJWDFxbmhFVFc4bU9tTkZKcmlsOFB5QWZLNUNoNzhYX09mQ0R6U0VzOEtRbFZFdHpnU1I1amo3WlRWVHpLak8zRWkzcTIwR0J0aTI?hl=en-IN&gl=IN&ceid=IN%3Aen,17 hours ago,2025-03-21 12:50:31.174285
"Triveni Turbine shares rise 27% in a week, here's what brokerages say",https://news.google.com/read/CBMizgFBVV95cUxOVk9uZW1RZGtpaXRPTG42Q1NFQ0xHTFV3NDZTMm85NVlTSmcxdDR6MmJ2SG1KQ2RHRHpBb1FGM2drQld6QnZEQUNmZjk1bjhpRF80V1IyU1F0aXdlV0l2SkNkZFJOVkZyODhKRjgyVkFCUTRYNUpELW9HT1U4NWdVbVl2M1hRZjl5eUtPeXhQWFFvNHhwSERZOVlxZVdYX3d1RHVSeHNBcEFMN1dINVhYdnc5X0lVdGdGSnJXUlR2Um5FdmY0M25MckFObm5jQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,14 days ago,2025-03-21 12:50:31.174372
Triveni Turbine slips 9% post Q3 results as domestic orders fall 16% YoY,https://news.google.com/read/CBMi0wFBVV95cUxOUUdhYzJUVUV6Ull5Vy1BSXoxNU43M2txZFhtN0NvbEtYclRZZXFmY0RwUWhVOVdPWi1jNmtwNWJGUm9Uc0F4WGJoTE42Y1lkYWU0a2FTcG1Ub3o5SG5NZjRRTnNTTEhUNzdJX2FlSUpZc2RQWFJXT3VJQ3lRRjR0OTk1ZUwtZHNvSmkzYnFsazhxcDFpNmp0eFl0bGFuTGZ2THFoM1BKdXFfTmZKcVZVMUxMaFFiWjhXeEdPUExBV0d1R3AwY1JGZXZyRFQwa3B2SVk00gHYAUFVX3lxTE5PRGpqZTBDODBTRU1sTl95Tjc2YUtNaHdKS3ZXT01kelJnZlBEUmg0VzN2emVaNWRCYmRVdERCM1A2SDlZRExRSEdWYVNDMnQxWi1PVVpVSHhnekpFeFczSGtkYnRtQ2NUZkpWSDdTZzhrS3hHZnFZdkd6dUdLZEhnNGlaY1JKRlE5SDQydUxWUVdEQjJqcWxFRk9wWFFlMXFqOXA5TkpuT3E0ZkxqUFBkNng5YzhHRWEzVzhtRXdoaVFac0JBQUtkYVRpOWFEZ2xxWTQtbFhIaA?hl=en-IN&gl=IN&ceid=IN%3Aen,4 Feb,2025-03-21 12:50:31.174430
Triveni Turbine shares gain over 6.5% with Rs 290-crore order win from NTPC,https://news.google.com/read/CBMi0wFBVV95cUxPOHN4OGU4dVFBd3pVeVZVWEU2ZjM1dWtpNzJ2UG5Tb1BKRVhSTFozd0NLSFQwaVhLdzY5YnI2SjhmbkpsNVpJX09BeXVoRndGOHpWVUlsZ2hlZG9uZU51RXFFMWNSQVBkajF0aU82YUdUUXlqWDlucnJicjdpaXdtLTQwcllhMkdyOUt3MWZhZjlfTXpiQnl4blZSWkhaZHctNlR5Z21QblB6SGNYaDN2ay1icGQ3Sy1vUkpUdFdlVnN3QlVoTVVIWEdPdHRmNmRqNEww0gHYAUFVX3lxTE1lX3BnSkctcGRGcW5GMlBRS1pmS2sycGZZcmRObnRfZE93OHVob1FhNjVXSEJEb0FkeTY1VlhBNjhSX25SY2M3VlJnemktQ25VUGhRX1g0aGZvQW1iZlJhNXVQbG5yNG5ZVFMyZzQ3eVNCMzdXeklEQTAzUDhRVFI0Z01INlYwWXc1SzlWYkphZFFJczVhMjNzckl2SzdmQ2E4akp0SGVRM1BrODFrRDJqcmdFWG9GdUNJdDBPOWhVX0RNZ21SalN0ZlRKNHN1bGdUbGhETUEtZQ?hl=en-IN&gl=IN&ceid=IN%3Aen,29 Jan,2025-03-21 12:50:31.174524
"Triveni Turbine stock soars over 11% on stellar performance in Q2, up nearly 900% in 4 years",https://news.google.com/read/CBMi8AFBVV95cUxNZkhMRHJBTzJ1VHNOd0lJcndDcjNEWG4zUE5yamE1dWU4akNpaGlUSzdlcGRqdVI2bTNuRkFvTUxwLVZhOExYV0tDck5MdTdkalFVYTYzN0pHMTcza2QzMllGSHZ2bmtJdnpYWGx2Y0NEUlh4QjdIUHQ5TUxXQkJxbVRjWWZhb1BRRHRuNXFTOHdpeWNSamhadkVCcVFPNGMySkk5MEsycS02OHl4UzZGejVqRlpSWDg5ellSNlRNREtObjVEVHBISHZtTTdGSVBPVjc3OXdlaUpid0pHankxYUhSTlhQUWgyekxENk1QU2bSAfYBQVVfeXFMUHVQVWVkN3ZDMGcxX2Z6NVpPbWE5ZWRLU0J2WGlxdGd6aWR3SS1FdHh4aGxNdU1NenRTdi1oSUdXci1WVU5uMFdDS08tZmF1eWdHSXNLNDNEalhDS1hodEdGSFJQVk4wT2Izc3ZMUV9SRlRUVEJyeVM2VzFWWGk5aHBaRjV0SHF6MVYzcUxBUGhrVFlBaVFrUUprYlkyQkl0Vk0tXzV0bDdZd2RmclVveUpyWGs1WEdjM2RXd1dBd29reE5Ed1JnakpEYW1jX19uZ2FjVU5oMlB0U1VMLUxiRHoxT29PZ2tuT3d2Ni1yV19DaE54eUh3?hl=en-IN&gl=IN&ceid=IN%3Aen,12 Nov,2025-03-21 12:50:31.174584
8 high-conviction stock ideas from Prabhudas to add to your portfolio,https://news.google.com/read/CBMingJBVV95cUxPdTNtU0ZIa2ZKODFpTzUwQTh3MHVOdmotRmdUWjY1ZHZkYk50TXRqX3BwU0prSkR1VnY5X2g5YWJaQVU1UTYxN0ktdXpVMjEyQkFBcTAzSnB0OTJMRlJ5WERJR3dWRGxCMTFQZ2tzZDI3ellFRFpPUm1zWEpDY0h4VWVPd2JaSUk5ZjJwRFFQblRuSDExUzcyM2lYSkpEbkRwT3BObWwyRm40TFBKaHhQQlIzVHNQcUZweEdLQ1J6d1RaRURSMDZvcjRRWjFfTkRxdkgwdzhEMnlPUUFEVkNMbHRVUTZBNGJtTTJhbGp5Y1hSUjJNR3puMElTU2I5QUswTWhqZEZMSXZ0Zmh4eEJIeHRpQ2czQnJUeTRzSDR3?hl=en-IN&gl=IN&ceid=IN%3Aen,27 Nov,2025-03-21 12:50:31.174670
Triveni Turbine Shows Signs of Trend Reversal Amid Broader Market Challenges,https://news.google.com/read/CBMiyAFBVV95cUxQZGFzb0JqUVJtaXFPUTIyeHVqRDl0XzgtV1A4akExMUR5NmNjZDlDN3dhYnJuZXdRUWV3T1FUU28yaUsycThEbU1fcjJwLU5HMnE4Tmd0Y3hpa1FoaXVmTWRxSmh2YlpUU0VsWTAtenlDRWJvMUtDbGZVRmZTeklISXRwcl9rZ0VKVGEyX21lVnM4UDJvVFh5cDZXTU9lalJ1Rm9mczJaT0lBVFcxWEtyMzU0cjBFVDdOdkNRRTlUbTdFN1ZCd1UyTg?hl=en-IN&gl=IN&ceid=IN%3Aen,3 days ago,2025-03-21 12:50:31.174721
Rs 95 to Rs 598: This power stock turned into a multibagger in five years; down 34% from record high,https://news.google.com/read/CBMi5wFBVV95cUxPaTZxSS0wbWFfZzZVRW9TeWlPSTlrUkNJdVpOUTJ1czRFTVJKVkdtN2tGVUVPanJKTEhyQ1lfZ3BEQlZqWldoTDVKaHRteEh5ZTVMUDRURkVoYmExanhCNm90d2J1Q1JSWHR3Z0pHbWNPd3RGbFBTSWRVNWRhcjE2YTRxb1dkRnFjWWhlb1p5RDMzU3lQQ0FlNHRwQ3JGcEdvZ1VMTk1QbVpNeGNWUFBnZExHNWtOS1FFUzVsU3NxM1p1VVBEVjluVmJjSkdOME9nYnhfZ0ZuaXJWRUVEM3l1NlRSQXZXSEk?hl=en-IN&gl=IN&ceid=IN%3Aen,7 Feb,2025-03-21 12:50:31.174772
"Triveni Turbine hits new high, up 16% amid heavy volumes on healthy outlook",https://news.google.com/read/CBMi1wFBVV95cUxPeUxEN09CSk9EdW1ER0hrb05ETThJMVEwTXR5SEY2MGxZR2hDU3c1NUFXbXNJSnMwYV9oTmRULXdwVTE1RFJkYlg4Y2VsQVBVVFJSUUZ1V2N1b0V3dWxzLTRWR2dMcEVkLUpXTEEyd1AwSzFvNUNDNy0tZW5OdFlHSHh0MHJuc1pzUk03NlBtdVZkaENueTUxNk5YN21VU254VHV2V1RobEVIRVZMblk5Y1lVUW9KT0JnQ0JRa01MRWh3YzlmWmRCZWpfQUl1VWtBZDBGUnlWNNIB3AFBVV95cUxOWjVkb2ZXN2xoVXdUMFJJdTJjNGVPMmxuc2JkbTc0ck9laUs4eXNpcldnYTBYNm1hRTYxMEN4UE1wNXhici1hOUdpelVaVkRyLVNKRmg0ZUhzYVRUSER3VDJRVVlYdFZhb0JDRjAwek9obTNZNGN3R2ozWlFWMS1BaUNRcnQ5WFRGekVWS3B5blV2UGhfZ241bXpXWHZWbWhfMEJOdmhmVm5YZFpGSG1WT0ZlOVlRendwcHBRQ3F3RUNRSnREbDRtYkNhemZMRUpLSjJQay15Q1NTNDdZ?hl=en-IN&gl=IN&ceid=IN%3Aen,26 Nov,2025-03-21 12:50:31.174822
Buy Triveni Turbine; target of Rs 800 Prabhudas Lilladher,https://news.google.com/read/CBMivwFBVV95cUxOYy1tc0Q2UkZaZUlRZlloVS1sUGJsVUZPZmJUcFJOdTJrNzZwSjA3eGQxMklWUS1kS0poVlhXaW9OS0dpN2tGTUR1VXhpSy1ONnB5MzlZazQ3b21Zb2pjT0diemFJbXNRaXl2WkhqdkdXQ001RXQ1ZkZGTVJnUzM0eEE0VDRDbmZNQXlQRmZqaHd2dGlDdmZoQkpMcUdXdFg2QXBnUE5zUmhpaGFBdW1aZm1OLTExa3o3UWFCQjVBMNIBxAFBVV95cUxPUEJ1Ykk5LVNxR0J0SVJIbnFUOUszNmRKcDBxbzd5emMwQzdsZkpqQkpsZVdhTERWdGJiR1JqUE9kWl9venR2N2VjUFMwWUROYThHMVJnZU51V0hkYjlNNktMZGZ0cFNvUjR3c2Z3dm9xeU9LYUxPaGxCTFhKTXRHRnRjajNDa3M0TkJXb05uZG0tQ1lqdEFNc3ZON2hMaGJ5WHJ0ckFIMmZ0NzZLSmk2QmJsOUU4LW9WeTBmQ2VWMnFjRjZa?hl=en-IN&gl=IN&ceid=IN%3Aen,4 Feb,2025-03-21 12:50:31.174871
