title,description,publishedAt,source,url,publishedAt_utc,publishedAt_ny
Multiple incendiary devices found at Tesla dealership in Texas: Police,Tesla dealerships have faced attacks since Elon Musk began his White House role.,2025-03-24T18:26:47Z,ABC News,https://abcnews.go.com/US/multiple-incendiary-devices-found-tesla-dealership-texas-police/story?id=120104766,2025-03-24 18:26:47+00:00,2025-03-24 14:26:47-04:00
The Cost And Benefits Of Privatizing Amtrak,Amtrak CEO Stephen Gardner is stepping down after DOGE leader Elon Musk called for the gov't corporation to be privatized. Is this the right approach?,2025-03-24T18:26:59Z,Forbes,https://www.forbes.com/sites/paulweinstein/2025/03/24/the-cost-and-benefits-of-privatizing-amtrak/,2025-03-24 18:26:59+00:00,2025-03-24 14:26:59-04:00
"NYC’s fastest EV charging company, Revel, opens its first West Coast station","Revel, the EV charging company known for its high-speed chargers in and around New York City, started its West Coast expansion today with 12 320kW chargers in San Francisco, and more to come soon.



 more…",2025-03-24T18:30:00Z,Electrek,http://electrek.co/2025/03/24/nycs-fastest-ev-charging-company-revel-opens-its-first-west-coast-station/,2025-03-24 18:30:00+00:00,2025-03-24 14:30:00-04:00
FBI launches task force to nail criminals behind fiery Tesla attacks: ‘Domestic terrorism’,The FBI launched a task force Monday to try to nail the criminals setting fire to Tesla vehicles and charging stations — calling the acts “domestic terrorism” and eying an anarchy blog calling for more.,2025-03-24T18:30:09Z,New York Post,https://nypost.com/2025/03/24/us-news/fbi-launches-task-force-to-nail-criminals-behind-fiery-tesla-attacks/,2025-03-24 18:30:09+00:00,2025-03-24 14:30:09-04:00
Austin Tesla dealership bomb investigation; suspicious devices found,"AUSTIN, Texas - The Austin Police Department says it is investigating after suspicious devices were found at a Tesla dealership in North Austin.
The backstory:
Austin police say officers responded to a call at around 8:04 a.m. to a Tesla dealership located at…",2025-03-24T18:33:00Z,Biztoc.com,https://biztoc.com/x/da291d00a565a1c3,2025-03-24 18:33:00+00:00,2025-03-24 14:33:00-04:00
Austin Police bomb squad called to Tesla showroom after incendiary devices found,APD said it responded to a call about suspicious devices at the Tesla showroom around 8:04 a.m. Monday. The APD bomb squad was called out to investigate.,2025-03-24T18:36:31Z,KXAN.com,https://www.kxan.com/news/local/austin/incendiary-devices-found-at-austin-tesla-showroom/,2025-03-24 18:36:31+00:00,2025-03-24 14:36:31-04:00
"Michael Saylor Stays Bullish As Strategy Buys $584,000,000 in Bitcoin, Pushing Holdings to 2% of Supply","Strategy, formerly MicroStrategy, is announcing the acquisition of nearly 7,000 more Bitcoin (BTC) worth approximately $584 million. In a new post to the social media platform X, Strategy says it now owns over 500,000 BTC. “Strategy has acquired 6,911 BTC for…",2025-03-24T18:41:59Z,The Daily Hodl,https://dailyhodl.com/2025/03/24/michael-saylor-stays-bullish-as-strategy-buys-584000000-in-bitcoin-pushing-holdings-to-2-of-supply/,2025-03-24 18:41:59+00:00,2025-03-24 14:41:59-04:00
Tesla Showroom Targeted In Austin As Vandalism Escalates,"Police in Austin, Texas, discovered multiple “incendiary” devices at a Tesla Inc (NASDAQ:TSLA) showroom on Monday morning.
What To Know: The FBI is assisting Austin Police in their investigation, CNBC reports. Authorities responded to the scene around 8 a.m. …",2025-03-24T18:44:11Z,Biztoc.com,https://biztoc.com/x/2ce61d3b5fd31a3a,2025-03-24 18:44:11+00:00,2025-03-24 14:44:11-04:00
Incendiary devices found at Texas Tesla dealership amid growing protests,"Trump administration has pledged to crack down on vandalism and protests against Elon Musk’s car company
Police in Texas said they found “incendiary devices” at a Tesla dealership in Austin on Monday morning, as the Trump administration has pledged to crack d…",2025-03-24T18:44:38Z,Biztoc.com,https://biztoc.com/x/d7a8feb09b476902,2025-03-24 18:44:38+00:00,2025-03-24 14:44:38-04:00
"Trump Regime Goes ‘War on Terror’ Against Tesla Protesters, Claims They’ve Got WMDs","The FBI has asked the public to ""look out for suspicious activity in areas occupied by Tesla dealerships.""",2025-03-24T18:45:48Z,Gizmodo.com,https://gizmodo.com/trump-regime-goes-war-on-terror-against-tesla-protesters-claims-theyve-got-wmds-2000579814,2025-03-24 18:45:48+00:00,2025-03-24 14:45:48-04:00
